Name;Phone;Email;Website;Address;
Restaurant Bodenseehotel Weisses Rössli;https://tel.search.ch/staad/hauptstrasse-69/weisses-roessli;071 855 15 15 *;;;Hauptstrasse 69, 9422 Staad/SG
Seehotel Delphin;https://tel.search.ch/meisterschwanden/delphinstrasse-26/seehotel-delphin-ag;056 676 66 80 *;;;Delphinstrasse 26, 5616 Meisterschwanden/AG
Adler Adelboden;https://tel.search.ch/adelboden/dorfstrasse-19/adler-adelboden-2;033 673 41 41 *;;;Dorfstrasse 19, 3715 Adelboden/BE
Ausbildungszentrum für die Schweizer Fleischwirtschaft;https://tel.search.ch/spiez/schachenstrasse-43/ausbildungszentrum-fuer-die-schweizer-fleischwirtschaft;033 650 81 81;;;Schachenstrasse 43, 3700 Spiez/BE
Banana City;https://tel.search.ch/winterthur/schaffhauserstrasse-8/banana-city;052 268 16 16 *;;;Schaffhauserstrasse 8, 8400 Winterthur
Belvédère Scuol AG;https://tel.search.ch/scuol/stradun-330/belvedere-scuol-ag;081 861 06 06;;;Stradun 330, 7550 Scuol/GR
best western Alpen resort;https://tel.search.ch/zermatt/spissstrasse-52/best-western-alpen-resort;027 966 30 00 *;;;Spissstrasse 52, 3920 Zermatt/VS
Best Western Hotel Walhalla;https://tel.search.ch/st-gallen/poststrasse-27/best-western-hotel-walhalla;071 228 28 00 *;;;Poststrasse 27, 9000 St. Gallen
Bleichibeiz;https://tel.search.ch/wald/jonastrasse/bleichibeiz;055 256 70 20 *;;;Jonastrasse, 8636 Wald/ZH
erlebniswelt muotathal GmbH;https://tel.search.ch/muotathal/balm-40/erlebniswelt-muotathal-gmbh;041 831 81 50;;;Balm 40, 6436 Muotathal/SZ
Grischa - DAS Hotel Davos;https://tel.search.ch/davos-platz/talstrasse-3/grischa-das-hotel-davos;081 414 97 97 *;;;Talstrasse 3, 7270 Davos Platz/GR
Hirschen Landhotel;https://tel.search.ch/erlinsbach/hauptstrasse-125/hirschen-landhotel-2;062 857 33 33 *;;;Hauptstrasse 125, 5015 Erlinsbach/SO
HOTEL aarau-WEST;https://tel.search.ch/oberentfelden/muhenstrasse-58/hotel-aarau-west;062 737 01 01 *;;;Muhenstrasse 58, 5036 Oberentfelden/AG
Hotel Eden;https://tel.search.ch/spiez/seestrasse-58/hotel-eden;033 655 99 00 *;;;Seestrasse 58, 3700 Spiez/BE
Hôtel Jean-Jacques Rousseau;https://tel.search.ch/la-neuveville/promenade-jj-rousseau-1/hotel-jean-jacques-rousseau;032 752 36 52;;;promenade JJ Rousseau 1, 2520 La Neuveville/BE
Hotel Seehof Davos;https://tel.search.ch/davos-dorf/promenade-159/hotel-seehof-davos;081 417 94 44 *;;;Promenade 159, 7260 Davos Dorf/GR
lofthotel;https://tel.search.ch/murg/-/lofthotel;081 720 35 75 *;;;alte Spinnerei, 8877 Murg/SG
Militärkantine St. Gallen AG;https://tel.search.ch/st-gallen/kreuzbleicheweg-2/militaerkantine-st-gallen-ag;071 279 10 00 *;;;Kreuzbleicheweg 2, 9000 St. Gallen
Mirabeau Hotel & Alpine Residence;https://tel.search.ch/zermatt/untere-mattenstrasse-12/mirabeau-hotel-alpine-residence;027 966 26 60 *;;;Untere Mattenstrasse 12, 3920 Zermatt/VS
Mövenpick Hôtel Lausanne;https://tel.search.ch/lausanne/avenue-de-rhodanie-4/moevenpick-hotel-lausanne;021 612 76 12;;;avenue de Rhodanie 4, 1007 Lausanne
Wysses Rössli;https://tel.search.ch/schwyz/hauptplatz-3/wysses-roessli;041 811 19 22 *;;;Hauptplatz 3, 6430 Schwyz
Zentrum Ländli;https://tel.search.ch/oberaegeri/im-laendli-16/zentrum-laendli;041 754 91 11;;;Im Ländli 16, 6315 Oberägeri/ZG
Zur alten Herberge;https://tel.search.ch/niederbueren/staatsstrasse-35/zur-alten-herberge;071 422 20 91;;;Staatsstrasse 35, 9246 Niederbüren/SG
Albana Real;https://tel.search.ch/zermatt/schluhmattstrasse-19/albana-real;027 966 61 61;;;Schluhmattstrasse 19, 3920 Zermatt/VS
Alpenblick;https://tel.search.ch/schwende/kuechenrain-5/alpenblick;071 799 11 73 *;;;Küchenrain 5, 9057 Schwende/AI
Angelo Delea SA;https://tel.search.ch/losone/via-zandone-11/angelo-delea-sa;091 791 08 17 *;;;via Zandone 11, 6616 Losone/TI
Anker Hotel & Restaurant;https://tel.search.ch/teufen/dorf-10/anker-hotel-restaurant;071 333 13 45 *;;;Dorf 10, 9053 Teufen/AR
APARTHOTEL Rotkreuz;https://tel.search.ch/rotkreuz/mattenstrasse-1/aparthotel-rotkreuz;041 799 49 99 *;;;Mattenstrasse 1, 6343 Rotkreuz/ZG
Château Gütsch;https://tel.search.ch/luzern/kanonenstrasse/chateau-guetsch-3;041 289 14 14 *;;;Kanonenstrasse, 6003 Luzern
Gasthof Löwen;https://tel.search.ch/bubikon/wolfhauserstrasse-2/gasthof-loewen;055 243 17 16 *;;;Wolfhauserstrasse 2, 8608 Bubikon/ZH
Hôtel Alpes et Lac;https://tel.search.ch/neuchatel/place-de-la-gare-2/hotel-alpes-et-lac-2;032 723 19 19 *;;;place de la Gare 2, 2000 Neuchâtel
Hotel Florhof;https://tel.search.ch/zuerich/florhofgasse-4/hotel-florhof-2;044 250 26 26;;;Florhofgasse 4, 8001 Zürich
Hotel KERNEN;https://tel.search.ch/schoenried/dorfstrasse-58/hotel-kernen;033 748 40 20 *;;;Dorfstrasse 58, 3778 Schönried/BE
Hotel Kindli;https://tel.search.ch/zuerich/pfalzgasse-1/hotel-kindli-2;043 888 76 76 *;;;Pfalzgasse 1, 8001 Zürich
Hotel Perren;https://tel.search.ch/zermatt/vispastrasse-10/hotel-perren-2;027 966 52 00 *;;;Vispastrasse 10, 3920 Zermatt/VS
Hotel Stella Panoramico;https://tel.search.ch/orselina/via-al-parco-14/hotel-stella-panoramico;091 743 66 81;;;via al Parco 14, 6644 Orselina/TI
Parkhotel Delta;https://tel.search.ch/ascona/via-delta-137-141/parkhotel-delta;091 785 77 85 *;;;via Delta 137-141, 6612 Ascona/TI
Seehotel Sternen;https://tel.search.ch/horw/winkelstrasse-46/seehotel-sternen;041 348 24 82 *;;;Winkelstrasse 46, 6048 Horw/LU
Weingarten AG;https://tel.search.ch/affoltern-am-albis/untere-bahnhofstrasse-8/weingarten-ag;044 761 63 92 *;;;Untere Bahnhofstrasse 8, 8910 Affoltern am Albis/ZH
Atrium Hotel Blume;https://tel.search.ch/baden/kurplatz-4/atrium-hotel-blume;056 200 02 00;;;Kurplatz 4, 5400 Baden/AG
Boldern Hotel Restaurant Seminar;https://tel.search.ch/maennedorf/boldernstrasse-83/boldern-hotel-restaurant-seminar;044 921 71 11 *;;;Boldernstrasse 83, 8708 Männedorf/ZH
Gasthof zum Ochsen;https://tel.search.ch/arlesheim/ermitagestrasse-16/gasthof-zum-ochsen-2;061 706 52 00 *;;;Ermitagestrasse 16, 4144 Arlesheim/BL
Gottlieber - Hotel Die Krone AG;https://tel.search.ch/gottlieben/seestrasse-11/gottlieber-hotel-die-krone-ag;071 666 80 60 *;;;Seestrasse 11, 8274 Gottlieben/TG
Hotel EDEN im Park Restaurant Makaan;https://tel.search.ch/rheinfelden/froneggweg-3/hotel-eden-im-park-restaurant-makaan;061 836 24 24;;;Froneggweg 3, 4310 Rheinfelden/AG
Hotel und Kurhaus Weissenstein;https://tel.search.ch/weissenstein-b-solothurn/weissensteinstrasse/hotel-und-kurhaus-weissenstein;032 530 17 17 *;;;Weissensteinstrasse, 4515 Weissenstein b. Solothurn/SO
Hotel zur Therme;https://tel.search.ch/bad-zurzach/quellenstrasse-31/hotel-zur-therme;056 265 22 22 *;;;Quellenstrasse 31, 5330 Bad Zurzach/AG
Kloster Kappel;https://tel.search.ch/kappel-am-albis/-/kloster-kappel;044 764 88 10 *;;;8926 Kappel am Albis/ZH
